"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Azaka Stormfang","ToA","33","Medium","Humanoid (Human, Shapechanger)","neutral good","12","120 (16d8 + 48)","30 ft. (40 ft. in tiger form)","17","15","16","10","13","11","","Perception +5, Stealth +4","","","bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","","Darkvision 60 ft., passive Perception 15","Common (can't speak in tiger form)","4 (XP 1,100; PB +2)","Shapechanger. The Azaka can use its action to polymorph into a tiger-humanoid hybrid or into a tiger, or back into its true form, which is humanoid. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.

Keen Hearing and Smell. The Azaka has advantage on Wisdom (Perception) checks that rely on hearing or smell.

Pounce (Tiger or Hybrid Form Only). If the Azaka moves at least 15 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 14 Strength saving throw or be knocked prone. If the target is prone, the Azaka can make one bite attack against it as a bonus action.","Multiattack (Humanoid or Hybrid Form Only). In humanoid form, the Azaka makes two scimitar attacks or two longbow attacks. In hybrid form, it can attack like a humanoid or make two claw attacks.

Bite (Tiger or Hybrid Form Only). Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage. If the target is a humanoid, it must succeed on a DC 13 Constitution saving throw or be cursed with Azaka lycanthropy.

Claw (Tiger or Hybrid Form Only). Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage.

Scimitar (Humanoid or Hybrid Form Only). Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.

Longbow (Humanoid or Hybrid Form Only). Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.","","","","","","","",""
"Bag of Nails","ToA","102","Medium","Humanoid (Tabaxi)","chaotic neutral","15 (studded leather)","78 (12d8 + 24)","30 ft., Climb 20 ft.","11","16","14","13","11","10","Dex +6, Int +4","Acrobatics +6, Deception +3, Perception +3, Stealth +9","","poison","","","Darkvision 60 ft., passive Perception 13","Thieves' cant, Common, Dwarvish","8 (XP 3,900; PB +3)","Assassinate. During his first turn, Bag of Nails has advantage on attack rolls against any creature that hasn't taken a turn. Any hit Bag of Nails scores against a surprised creature is a critical hit.

Evasion. If Bag of Nails is subjected to an effect that allows him to make a Dexterity saving throw to take only half damage, Bag of Nails instead takes no damage if he succeeds on the saving throw, and only half damage if it fails.

Feline Agility. When Bag of Nails moves on its turn in combat, he can double his speed until the end of the turn. Once he uses this trait, Bag of Nails can't use it again until he moves 0 feet on one of his turns.

Sneak Attack (1/Turn). Bag of Nails deals an extra 14 (4d6) damage when he hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of his that isn't incapacitated and Bag of Nails doesn't have disadvantage on the attack roll.","Multiattack. Bag of Nails makes two shortsword attacks.

Claw. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 2 (1d4) slashing damage.

Shortsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.

Longbow. Ranged Weapon Attack: +6 to hit, range 150/600 ft., one target. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.","","","","","","","",""
"Bodak","MPMM","64","Medium","Undead","chaotic evil","15 (natural armor)","58 (9d8 + 18)","30 ft.","15","16","15","7","12","12","","Perception +4, Stealth +6","","cold, fire; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison","charmed, frightened, poisoned","Darkvision 120 ft., passive Perception 14","Abyssal, the languages it knew in life","6 (XP 2,300; PB +3)","Death Gaze. When a creature that can see the bodak's eyes starts its turn within 30 feet of the bodak, the bodak can force it to make a DC 13 Constitution saving throw if the bodak isn't incapacitated and can see the creature. If the saving throw fails by 5 or more, the creature is reduced to 0 hit points unless it is immune to the frightened condition. Otherwise, a creature takes 16 (3d10) psychic damage on a failed save.

Unless surprised, a creature can avert its eyes to avoid the saving throw at the start of its turn. If the creature does so, it has disadvantage on attack rolls against the bodak until the start of its next turn. If the creature looks at the bodak in the meantime, that creature must immediately make the saving throw.

Sunlight Hypersensitivity. The bodak takes 5 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.

Unusual Nature. The bodak doesn't require air, food, drink, or sleep.","Fist. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage plus 9 (2d8) necrotic damage.

Withering Gaze. One creature that the bodak can see within 60 feet of it must make a DC 13 Constitution saving throw, taking 22 (4d10) necrotic damage on a failed save, or half as much damage on a successful one.","Aura of Annihilation. The bodak activates or deactivates this deathly aura. While active, the aura deals 5 necrotic damage to any creature that ends its turn within 30 feet of the bodak. Undead and Fiends ignore this effect.","","","","","","Swamp, Underdark, Urban",""
"Brontosaurus","MPMM","95","Gargantuan","Beast (Dinosaur)","unaligned","15 (natural armor)","121 (9d20 + 27)","30 ft.","21","9","17","2","10","7","Con +6","","","","","","passive Perception 10","—","5 (XP 1,800; PB +3)","","Stomp. Melee Weapon Attack: +8 to hit, reach 20 ft., one target. Hit: 27 (5d8 + 5) bludgeoning damage, and the target must succeed on a DC 14 Strength saving throw or be knocked prone.

Tail. Melee Weapon Attack: +8 to hit, reach 20 ft., one target. Hit: 32 (6d8 + 5) bludgeoning damage.","","","","","","","Forest, Grassland",""
"Champion","MPMM","74","Medium","Humanoid","any alignment","18 (plate)","143 (22d8 + 44)","30 ft.","20","15","14","10","14","12","Str +9, Con +6","Athletics +9, Intimidation +5, Perception +6","","","","","passive Perception 16","Any one language (usually Common)","9 (XP 5,000; PB +4)","Indomitable (2/Day). The champion rerolls a failed saving throw.","Multiattack. The champion makes three Greatsword or Shortbow attacks.

Greatsword. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage, plus 7 (2d6) slashing damage if the champion has more than half of its total hit points remaining.

Shortbow. Ranged Weapon Attack: +6 to hit, range 80/320 ft., one target. Hit: 5 (1d6 + 2) piercing damage, plus 7 (2d6) piercing damage if the champion has more than half of its total hit points remaining.","Second Wind (Recharges after a Short or Long Rest). The champion regains 20 hit points.","","","","","","Desert, Urban",""
"Chwinga","ToA","216","Tiny","Elemental","neutral","15","5 (2d4)","20 ft., Climb 20 ft., Swim 20 ft.","1","20","10","14","16","16","","Acrobatics +7, Perception +7, Stealth +7","","","","","Blindsight 60 ft., passive Perception 17","—","0 (XP 10; PB +2)","Evasion. When the chwinga is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.

Innate Spellcasting. The chwinga's innate spellcasting ability is Wisdom. It can innately cast the following spells, requiring no material or verbal components:

At will: druidcraft, guidance, pass without trace, resistance

Unusual Nature. The chwinga doesn't require air, food, or drink. When it dies, it turns into a handful of flower petals, a cloud of pollen, a stone statuette resembling its former self, a tiny sphere of smooth stone, or a puddle of fresh water (your choice).","Magical Gift (1/Day). The chwinga targets a humanoid it can see within 5 feet of it. The target gains a supernatural charm of the DM's choice. See chapter 7 of the Dungeon Masters Guide for more information on supernatural charms.

Natural Shelter. The chwinga magically takes shelter inside a rock, a living plant, or a natural source of fresh water in its space. The chwinga can't be targeted by any attack, spell, or other effect while inside this shelter, and the shelter doesn't impair the chwinga's blindsight. The chwinga can use its action to emerge from a shelter. If its shelter is destroyed, the chwinga is forced out and appears in the shelter's space, but is otherwise unharmed.","","","","","","","",""
"Deinonychus","MPMM","95","Medium","Beast (Dinosaur)","unaligned","13 (natural armor)","26 (4d8 + 8)","40 ft.","15","15","14","4","12","6","","Perception +3","","","","","passive Perception 13","—","1 (XP 200; PB +2)","Pounce. If the deinonychus moves at least 20 feet straight toward a creature and then hits it with a Claw attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the deinonychus can make one Bite attack against it as a bonus action.","Multiattack. The deinonychus makes one Bite attack and two Claw attacks.

Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage.

Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage.","","","","","","","Forest, Grassland, Hill",""
"Dimetrodon","MPMM","95","Medium","Beast (Dinosaur)","unaligned","12 (natural armor)","19 (3d8 + 6)","30 ft., Swim 20 ft.","14","10","15","2","10","5","","Perception +2","","","","","passive Perception 12","—","1/4 (XP 50; PB +2)","","Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) piercing damage.","","","","","","","Coastal, Swamp",""
"Dragonbait","ToA","218","Medium","Humanoid (Saurial)","lawful good","17 (breastplate, shield)","120 (16d8 + 48)","30 ft.","15","13","17","14","16","18","Wis +6, Cha +7","Athletics +5, Medicine +6","","","","disease","passive Perception 13","Understands Common but can't speak","5 (XP 1,800; PB +3)","Divine Health. Dragonbait is immune to disease.

Magic Resistance. While holding his holy avenger longsword, Dragonbait creates an aura in a 10-foot radius around him. While this aura is active, Dragonbait and all creatures friendly to him in the aura have advantage on saving throws against spells and other magical effects.","Multiattack. Dragonbait makes two melee weapon attacks.

Holy Avenger (+3 Longsword). Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) slashing damage, or 10 (1d10 + 5) slashing damage when used with two hands. If the target is a fiend or an undead it takes an extra 11 (2d10) radiant damage.

Sense Alignment. Dragonbait chooses one creature he can see within 60 feet of him and determines its alignment, as long as the creature isn't hidden from divination magic by a spell or other magical effect.","","","","","","","",""
"Drufi","ToA","64","Huge","Giant","neutral evil","15 (patchwork armor)","138 (12d12 + 60)","40 ft.","23","9","21","9","10","12","Con +8, Wis +3, Cha +4","Athletics +9, Perception +3","","","cold","","passive Perception 13","Giant","8 (XP 3,900; PB +3)","","Multiattack. Drufi makes two greataxe attacks.

Greataxe. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 25 (3d12 + 6) slashing damage.

Rock. Ranged Weapon Attack: +9 to hit, range 60/240 ft., one target. Hit: 28 (4d10 + 6) bludgeoning damage.","","","","","","","",""
"Eblis","ToA","219","Large","Monstrosity","neutral evil","13","26 (4d10 + 4)","30 ft., Fly 40 ft.","11","16","12","12","14","11","","Perception +4","","","","","passive Perception 14","Auran, Common","1 (XP 200; PB +2)","Innate Spellcasting. The eblis's innate spellcasting ability is Intelligence (spell save DC 11). It can innately cast the following spells, requiring no material components:

1/day each: blur, hypnotic pattern, minor illusion","Multiattack. The eblis attacks twice with its beak.

Beak. Melee Weapon Attack: +5 to hit, reach 5 ft., one target Hit: 5 (1d4 + 3) piercing damage.","","","","","","","",""
"Ekene-Afa","ToA","25","Medium","Humanoid (Human)","lawful good","16 (studded leather, shield)","112 (15d8 + 45)","30 ft.","18","15","16","10","12","15","Str +7, Dex +5, Con +6","Athletics +10, Intimidation +5","","","","","passive Perception 11","Any one language (usually Common)","5 (XP 1,800; PB +3)","Brave. Ekene-Afa has advantage on saving throws against being frightened.

Brute. A melee weapon deals one extra die of its damage when Ekene-Afa hits with it (included in the attack).","Multiattack. Ekene-Afa makes three melee attacks or two ranged attacks.

Spear. Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. and range 20/60 ft., one target. Hit: 11 (2d6 + 4) piercing damage, or 13 (2d8 + 4) piercing damage if used with two hands to make a melee attack.

Shield Bash. Melee Weapon Attack: +7 to hit, reach 5 ft., one creature. Hit: 9 (2d4 + 4) bludgeoning damage. If the target is a Medium or smaller creature, it must succeed on a DC 15 Strength saving throw or be knocked prone.","","Parry. Ekene-Afa adds 3 to its AC against one melee attack that would hit it. To do so, Ekene-Afa must see the attacker and be wielding a melee weapon.","","","","","",""
